order_id,customer_name,state,product,category,quantity,total_amount,order_date
1001.0,Alice,SD,Pizza,Food,2,24.0,2026-05-01 00:00:00
1002.0,Alice,SD,Soda,Drink,1,2.5,2026-05-02 00:00:00
1003.0,Bob,MN,Burger,Food,3,24.0,2026-05-03 00:00:00
1004.0,Charlie,SD,Coffee,Drink,2,8.0,2026-05-03 00:00:00
1005.0,Diana,IA,Pizza,Food,1,12.0,2026-05-04 00:00:00
1006.0,Ethan,MN,Coffee,Drink,4,16.0,2026-05-05 00:00:00
1007.0,Frank,SD,Burger,Food,2,16.0,2026-05-05 00:00:00
1008.0,Grace,IA,Soda,Drink,5,12.5,2026-05-06 00:00:00
,Sam Brandt,SD,Candy,Food,27,40.5,2026-05-27
,Carl,SD,Candy,Food,42,63.0,2026-01-01
